age,gender,income,usage_gb,complaints,tenure_months,plan_type,churn
23.0,male,13074,23.0,9,6,Prepaid,1
65.0,male,74865,35.0,7,57,Prepaid,1
58.0,female,29256,86.0,2,31,Postpaid,0
45.0,female,74011,11.0,9,59,Prepaid,0
44.0,male,60812,11.0,9,25,Prepaid,1
71.0,female,28242,30.0,0,50,Postpaid,0
23.0,female,52258,60.0,0,20,Prepaid,0
61.0,male,13298,80.0,2,27,Prepaid,1
30.0,female,73162,56.0,7,21,Prepaid,0
23.0,male,37341,49.0,5,33,Prepaid,1
50.0,female,44513,87.0,5,14,Postpaid,1
78.0,male,24142,17.0,4,30,Prepaid,0
63.0,female,42848,90.0,4,50,Postpaid,0
65.0,female,45620,31.0,6,10,Prepaid,0
62.0,female,30245,28.0,0,47,Prepaid,0
66.0,female,98141,95.0,5,51,Postpaid,0
49.0,female,35182,64.0,2,3,Postpaid,0
25.0,female,26296,43.0,7,40,Prepaid,0
70.0,female,59338,33.0,1,29,Postpaid,0
45.0,male,38698,44.0,0,38,Postpaid,0
49.0,male,50856,79.0,4,18,Postpaid,0
40.0,male,75260,16.0,4,13,Postpaid,0
29.0,female,17040,18.0,5,17,Postpaid,0
75.0,female,55826,31.0,8,10,Prepaid,1
66.0,male,11951,48.0,6,24,Postpaid,1
57.0,male,13953,81.0,3,52,Postpaid,0
42.0,female,18327,21.0,7,46,Prepaid,0
69.0,female,24552,78.0,5,11,Prepaid,0
51.0,female,41449,90.0,2,33,Prepaid,0
45.0,male,94172,44.0,0,5,Postpaid,0
45.0,male,91558,96.0,0,4,Prepaid,1
32.0,male,19284,89.0,2,37,Postpaid,0
23.0,female,99205,79.0,8,18,Prepaid,0
52.0,female,67158,38.0,4,42,Prepaid,0
73.0,female,59832,30.0,4,10,Prepaid,0
21.0,male,81309,86.0,3,8,Prepaid,1
71.0,male,53599,44.0,2,43,Postpaid,0
69.0,female,33889,4.0,7,13,Postpaid,0
35.0,female,57669,72.0,0,4,Postpaid,0
57.0,male,75257,35.0,6,47,Postpaid,0
28.0,female,71442,93.0,9,42,Postpaid,0
65.0,female,25290,85.0,8,55,Postpaid,0
61.0,male,94432,11.0,3,36,Postpaid,0
39.0,female,35627,90.0,8,29,Prepaid,1
22.0,female,83797,95.0,2,40,Postpaid,0
78.0,female,38063,75.0,2,47,Prepaid,0
45.0,male,15706,28.0,3,38,Prepaid,0
73.0,female,99679,67.0,0,19,Postpaid,0
60.0,male,62990,86.0,2,53,Prepaid,0
66.0,female,29311,81.0,8,42,Prepaid,1
65.0,male,10029,43.0,7,52,Prepaid,1
30.0,female,21628,71.0,3,33,Postpaid,1
40.0,female,25289,39.0,3,27,Postpaid,1
46.0,male,93312,26.0,3,50,Postpaid,0
48.0,male,25930,67.0,1,37,Prepaid,0
20.0,male,24573,47.0,1,46,Postpaid,0
51.0,female,85402,23.0,9,53,Postpaid,0
27.0,female,89135,66.0,6,17,Prepaid,1
64.0,female,28808,32.0,6,12,Prepaid,0
60.0,male,68541,59.0,2,9,Postpaid,1
75.0,male,58100,36.0,8,36,Prepaid,0
64.0,male,61917,88.0,1,48,Postpaid,0
40.0,female,38019,85.0,9,58,Prepaid,1
77.0,female,77620,47.0,5,2,Postpaid,0
43.0,male,89288,71.0,3,1,Prepaid,0
38.0,male,75339,18.0,7,41,Postpaid,0
74.0,female,91284,99.0,4,16,Postpaid,0
40.0,female,19947,22.0,2,29,Prepaid,0
22.0,male,69134,86.0,6,5,Prepaid,1
47.0,female,99951,84.0,7,5,Prepaid,1
67.0,male,58210,18.0,6,32,Postpaid,0
29.0,male,94770,1.0,4,41,Postpaid,0
46.0,male,41353,73.0,3,53,Postpaid,0
26.0,female,90693,87.0,4,29,Prepaid,0
60.0,female,94492,71.0,8,39,Postpaid,0
47.0,male,66006,6.0,3,51,Prepaid,0
38.0,female,73413,64.0,9,26,Prepaid,1
32.0,female,57051,39.0,1,13,Prepaid,0
52.0,female,38526,91.0,1,49,Postpaid,0
59.0,female,58265,80.0,3,1,Postpaid,0
76.0,male,96619,80.0,0,17,Postpaid,0
45.0,male,11344,41.0,8,8,Postpaid,1
27.0,male,28457,32.0,3,38,Postpaid,0
69.0,male,54952,82.0,1,16,Postpaid,0
57.0,male,40547,12.0,6,21,Prepaid,1
61.0,male,66139,10.0,9,39,Prepaid,0
24.0,female,42449,7.0,9,18,Prepaid,1
37.0,male,69283,51.0,1,22,Prepaid,0
65.0,male,19569,8.0,7,30,Postpaid,0
69.0,male,39892,58.0,3,7,Prepaid,0
44.0,male,72353,17.0,8,56,Prepaid,1
67.0,female,52415,89.0,6,58,Postpaid,0
70.0,female,74230,43.0,7,43,Prepaid,0
42.0,male,67267,10.0,8,7,Prepaid,0
73.0,female,39564,69.0,8,28,Postpaid,0
35.0,female,48547,34.0,1,21,Postpaid,1
32.0,female,96822,26.0,7,10,Postpaid,0
60.0,male,96592,66.0,1,52,Prepaid,0
57.0,female,13202,95.0,9,25,Postpaid,1
26.0,female,73489,98.0,6,39,Postpaid,0
69.0,female,54187,44.0,1,41,Postpaid,0
30.0,male,10114,84.0,2,19,Postpaid,1
67.0,female,67070,21.0,8,21,Postpaid,0
18.0,male,12095,84.0,6,58,Postpaid,0
67.0,male,38693,94.0,2,49,Prepaid,0
66.0,female,72127,52.0,8,30,Postpaid,1
66.0,female,83139,52.0,7,32,Postpaid,0
59.0,male,47138,56.0,0,1,Postpaid,0
47.0,female,82788,8.0,2,13,Postpaid,0
61.0,female,85552,85.0,8,1,Postpaid,0
35.0,female,50278,74.0,3,48,Postpaid,0
66.0,male,25571,87.0,0,56,Prepaid,0
52.0,male,69327,12.0,6,10,Prepaid,1
46.0,female,11244,80.0,8,17,Postpaid,0
49.0,female,90389,36.0,5,21,Postpaid,1
53.0,female,44927,82.0,9,48,Postpaid,0
20.0,female,78402,99.0,1,25,Prepaid,1
26.0,female,76245,88.0,6,3,Prepaid,1
33.0,female,52557,91.0,6,35,Prepaid,0
25.0,male,97455,12.0,9,9,Prepaid,1
45.0,female,81668,33.0,5,39,Postpaid,0
59.0,male,89528,29.0,8,51,Postpaid,0
58.0,female,18451,51.0,1,4,Prepaid,0
47.0,male,53566,97.0,0,59,Postpaid,0
71.0,female,95676,68.0,7,40,Prepaid,1
